CELL_LINE_NAME,DRUG_NAME,LN_IC50
LOXIMVI,A-366,1.250757
MESSA,PD173074,2.904122
ONS76,SN-38,-2.457346
RCM1,BMS-536924,3.045141
SKNSH,5-Fluorouracil,4.096426999999999
KP2,Dactolisib,-0.309344
8505C,SB590885,5.588737999999999
MCF7,AZD5438,3.160272
TE8,BMS-754807,2.0288310000000003
TE8,GDC0810,5.539194
KYSE510,Temsirolimus,2.319768
LOVO,POMHEX,-0.109241
CAL29,Ulixertinib,3.0422540000000002
SKMEL3,AGI-6780,4.3687949999999995
SKMEL2,MIM1,4.749386
LS1034,5-azacytidine,4.176529
LNCAPCLONEFGC,VX-11e,3.031243
HCT116,SCH772984,-1.228743
CORL23,UMI-77,1.792936
A549,PFI3,6.01168
DKMG,GSK1904529A,4.7142599999999995
SNB75,EHT-1864,3.874545
KP2,Uprosertib,5.363376000000001
SW948,Mitoxantrone,3.092333
SW48,Niraparib,3.3042949999999998
SUIT2,CCT007093,6.662596000000001
NMCG1,CCT-018159,7.285088000000001
H4,N-acetyl cysteine,8.684792
TE8,POMHEX,1.7612349999999999
NCIH1437,AZD6482,2.821065
CAOV3,OSI-027,2.592567
HCC1806,Avagacestat,4.894888
COLO829,Serdemetan,5.463951
GI1,glutathione,8.373334
SNB75,Tozasertib,4.720608
DKMG,Dactolisib,-0.587457
NCIH1437,PLX-4720,4.5185830000000005
RCM1,Alisertib,5.337536
TE8,AGI-6780,4.315106
BXPC3,PLX-4720,3.740878
LOVO,Dabrafenib,2.170138
NCIH1650,AZ6102,4.1481900000000005
NCIN87,Foretinib,2.122969
BXPC3,AZD3759,1.685702
COLO680N,Obatoclax Mesylate,2.3305540000000002
SKMEL2,UNC0638,2.5664740000000004
RCC10RGB,EPZ004777,6.556430000000001
SKNFI,5-azacytidine,3.239278
SW48,BMS-345541,3.05088
HCC827,Taselisib,1.636005
NCIH1437,LY2109761,4.907441
NCIH2009,Lapatinib,4.42082
RCM1,BI-2536,3.516975
KP2,Navitoclax,0.648742
COLO680N,Veliparib,6.1026489999999995
NCIN87,Lapatinib,-2.64243
ONS76,UNC0379,1.4881280000000001
KP2,5-Fluorouracil,7.818672
OVCAR3,I-BRD9,4.898223000000001
NCIH1650,PD0325901,4.184456
SW948,Trametinib,-2.63773
NCIH1437,Tretinoin,4.489016
NCIH1355,IWP-2,2.409287
NCIH1975,Pictilisib,0.064847
HPAC,Cisplatin,7.137306
HCC1143,CZC24832,6.07407
SKNSH,Uprosertib,2.121563
RCM1,GSK1904529A,4.652943
IGROV1,GSK2606414,2.0413240000000004
OVCAR3,GSK2110183B,4.504822
NMCG1,Entospletinib,5.01844
CORL23,Romidepsin,-5.426696
A549,Serdemetan,4.160971
NCIH1650,Vinblastine,1.739959
LS1034,AZD1332,5.5903480000000005
LNCAPCLONEFGC,Luminespib,-2.613838
NCIH1437,Niraparib,4.0370230000000005
639V,AZD1332,1.7162689999999998
BXPC3,GNE-317,0.6384380000000001
GAMG,Fulvestrant,3.296704
BICR31,Savolitinib,2.744622
8505C,Dactinomycin,-4.965326
IALM,VE821,6.012384
HPAC,GSK1904529A,4.794639
GI1,UMI-77,2.072295
RCM1,WEHI-539,1.454796
GAMG,Buparlisib,1.0265
NCIH226,YK-4-279,5.632813
GI1,MIM1,3.702697
SKNSH,MK-2206,2.643927
MESSA,AZD1332,3.035466
SKMEL3,CCT-018159,4.49184
COLO680N,IWP-2,4.285061
NCIH2009,glutathione,8.971059
SKMEL3,AZD4547,2.3650700000000002
HT29,GSK2578215A,5.650117
786O,AZD5438,1.6333799999999998
NCIH1793,Epirubicin,0.89438
RCC10RGB,Docetaxel,-2.23227
IGROV1,CPI-637,5.614346
NCIH2009,I-BRD9,4.172953
NCIN87,WZ4003,2.34633
DU145,SB590885,5.566126000000001
KP2,MN-64,5.717759
HCT116,SN-38,-3.423421
CAL29,Axitinib,3.164711
SKNSH,AZD8186,2.667512
DKMG,BMS-345541,5.387168
SKNSH,Palbociclib,3.959893
NCIH1355,MIRA-1,6.684678999999999
SKMEL2,AZ960,5.472519999999999
LOVO,PCI-34051,3.9571970000000003
MESSA,WIKI4,2.046341
SW948,Vorinostat,1.052402
NCIH1650,Wee1 Inhibitor,5.2536760000000005
8505C,LGK974,4.911626
HCC1806,PRT062607,2.873349
SKMEL3,OSI-027,1.6831990000000001
LOVO,Temozolomide,7.725885000000001
HCC1143,P22077,4.277972
639V,Cediranib,1.7060990000000003
HT29,Dactinomycin,-3.568
SKNFI,Palbociclib,2.539196
NCIH1355,Docetaxel,-2.398664
SW48,Obatoclax Mesylate,1.277091
SW48,LMP744,-1.3861860000000001
KU1919,MG-132,-1.005768
SCC25,JQ1,5.402117
MESSA,Selumetinib,5.74394
OVCAR3,Gallibiscoquinazole,2.880231
LOVO,NU7441,1.025929
CAOV3,PF-4708671,2.7606330000000003
639V,CZC24832,5.167173
NCIH1793,YK-4-279,3.886594
786O,SGC-CBP30,4.679708
HCC827,VX-11e,2.985633
NCIH226,UMI-77,7.629811
HPAC,Motesanib,6.69608
HT29,A-366,4.376598
HCC1143,5-azacytidine,5.262597
NCIH322,Dactolisib,-2.711651
NCIH322,PD173074,2.744207
DKMG,Ulixertinib,3.5085029999999997
NCIH2009,BIBR-1532,6.125753
NCIH1437,AZD3759,2.483262
HT29,Mycophenolic acid,1.875154
A549,Axitinib,2.8454639999999998
BICR31,Uprosertib,3.1693279999999997
CORL23,Vorinostat,0.604103
HCC1806,UNC0638,3.866521
NCIH1650,AZD1208,6.994694
SKMEL3,XAV939,3.003978
NCIH226,Teniposide,6.657733
LNCAPCLONEFGC,RVX-208,4.066818
HCC1143,PRT062607,3.2864760000000004
LNCAPCLONEFGC,LGK974,3.29132
5637,GSK-LSD1,2.842746
NCIH1355,Wnt-C59,4.142054
H4,Bleomycin,0.39334
ONS76,GSK2801,5.174105
LNCAPCLONEFGC,POMHEX,0.214635
ONS76,Mitoxantrone,0.624765
TE8,UNC0638,5.25221
SCC25,OSI-027,5.2779110000000005
CORL23,PD173074,4.522139
NCIH1793,Ulixertinib,3.776793
OVCAR3,Afatinib,1.812561
SW48,SB216763,4.466803
IGROV1,UNC0379,3.6545400000000003
MESSA,Luminespib,-3.414566
SCC25,MK-2206,4.404307
CAOV3,AZD5582,-3.070914
NCIH226,Gemcitabine,3.338172
HCC1806,AZD5991,5.0903599999999996
COLO829,PRT062607,3.493721
BICR31,OSI-027,4.002905999999999
SUIT2,PLX-4720,6.0317110000000005
GI1,AZD6738,1.200958
786O,GSK2606414,3.282893
GI1,Trametinib,2.420255
ONS76,Bortezomib,-5.122766
GI1,Sabutoclax,-1.3709799999999999
SNB75,Daporinad,-3.069203
COLO829,Schweinfurthin A,3.64572
NCIH1437,MIRA-1,5.1595
GAMG,AT13148,2.593901
NCIH1975,PRIMA-1MET,3.6171330000000004
HCC827,SB216763,5.519993
SW48,AZD8186,1.447864
SCC25,Vinorelbine,0.04547
GAMG,Schweinfurthin A,2.222528
DKMG,Dinaciclib,-1.8560590000000001
OVCAR3,Trametinib,2.867448
NCIH322,MIM1,3.295405
SKMEL3,AZD6482,2.3850569999999998
RCM1,AZD5438,2.001573
SNB75,OF-1,3.3864370000000004
786O,MK-2206,2.0274330000000003
SKNFI,JQ1,2.316188
RCC10RGB,Gefitinib,2.073236
COLO680N,BI-2536,3.1837020000000003
NCIH2347,Ribociclib,6.171176
SCC25,Vorinostat,3.3565440000000004
RCC10RGB,Tamoxifen,3.952839
NCIH1650,RO-3306,5.547487
LNCAPCLONEFGC,PRIMA-1MET,4.559391000000001
NCIH2347,NVP-ADW742,4.289661
NCIH1650,SCH772984,5.375354
CAOV3,GW441756,3.96294
SKMEL2,Afatinib,1.513965
SUIT2,BIBR-1532,5.300602
SKNSH,A-366,4.6541559999999995
NMCG1,CHIR-99021,6.767733
ONS76,AZD3759,3.3604300000000005
GI1,VX-11e,2.975323
IGROV1,Luminespib,-3.574728
NCIN87,Mirin,3.888764
LOXIMVI,Bleomycin,2.0385419999999996
CORL23,OF-1,5.674101
COLO680N,Afuresertib,4.965689
LOXIMVI,PFI-1,3.683935
SW48,Erlotinib,0.065471
LOXIMVI,Osimertinib,2.8401680000000002
SKMEL3,Tanespimycin,2.3411880000000003
BXPC3,GSK-LSD1,2.170029
LS1034,PFI-1,4.376326000000001
NCIH1437,Irinotecan,1.691631
ONS76,Vinorelbine,-3.997117
8505C,GSK343,2.591421
OVCAR3,GSK1904529A,4.146279
ONS76,Luminespib,-1.511301
MESSA,ascorbate,10.781152
COLO680N,Serdemetan,5.611466
NCIH2009,Fulvestrant,3.732568
BICR31,Daporinad,-2.591982
SKMEL2,RVX-208,3.876928
IGROV1,Fludarabine,6.092515000000001
H4,OTX015,1.25719
NCIN87,CZC24832,6.416083
LOXIMVI,GSK343,2.4950259999999997
5637,EHT-1864,3.9156980000000003
LOXIMVI,Selumetinib,0.641273
RCM1,AZD5153,1.2267569999999999
COLO680N,Crizotinib,3.6601239999999997
SKNFI,Rapamycin,-2.590171
HCC827,AZD3759,-2.602837
NCIH1355,Cediranib,5.540007
NCIH1975,Elephantin,2.8405080000000003
SKNSH,SB216763,5.537362
HCC827,CZC24832,5.523251999999999
BXPC3,GSK2578215A,5.449402
TE8,Selumetinib,4.363986
RCC10RGB,ABT737,2.6057360000000003
RCM1,Dacarbazine,5.9350879999999995
NCIH1437,Erlotinib,3.567452
MCF7,MN-64,5.576333
NCIH1355,Uprosertib,4.000731
NCIN87,SGC-CBP30,4.756812
ONS76,Axitinib,2.8060110000000003
SKMEL3,MK-2206,1.497256
TE8,Palbociclib,4.202996
NCIH2009,Temsirolimus,0.695186
BICR31,Palbociclib,4.169475
KYSE510,Mirin,4.525081
MCF7,GSK2110183B,5.041093
HCC827,GSK-LSD1,2.091152
786O,GSK2578215A,4.73342
MCF7,PD0325901,4.934125
LOXIMVI,Nelarabine,5.958384
SKNSH,Mycophenolic acid,0.377081
SKMEL2,Gefitinib,3.3131169999999996
GAMG,JQ1,2.593
HCT116,A-366,4.519566
MCF7,Tamoxifen,2.688411
OVISE,Navitoclax,-0.621312
NCIH1975,Temozolomide,6.507798
NCIH226,Vinorelbine,0.028367000000000003
TE8,Zoledronate,4.182072
RCM1,Pevonedistat,2.055719
IGROV1,Axitinib,4.376842
SKNSH,Paclitaxel,-0.39089
KU1919,glutathione,9.360582
IGROV1,UMI-77,3.5682160000000005
GAMG,AGK2,3.596515
H4,A-366,3.4562809999999997
RCC10RGB,AGI-5198,4.730109
HCC1143,A-366,4.056208
SKNFI,MIRA-1,4.751216
NCIH2009,ascorbate,10.154524
HCC827,VE-822,5.554657
OVCAR3,Obatoclax Mesylate,0.169101
RCM1,MG-132,-0.569868
HCC827,WZ4003,3.106007
LOVO,Olaparib,4.705243
GI1,LCL161,5.161822
IALM,P22077,5.843546
HCC1806,Entinostat,1.512616
HCC1806,Vinorelbine,-5.687354
NCIH1355,Alisertib,1.663517
RCC10RGB,GSK1904529A,6.669042999999999
NCIH1793,Romidepsin,-1.654929
SW948,Leflunomide,6.383430000000001
DU145,Mycophenolic acid,3.894567
NCIH1793,PCI-34051,6.6700919999999995
MCF7,VE821,5.543678
H4,GW441756,3.5028379999999997
DKMG,Docetaxel,-1.179713
HPAC,BIBR-1532,5.770929
786O,WEHI-539,3.854252
LNCAPCLONEFGC,PLX-4720,4.8011230000000005
SW48,AGI-5198,4.0777779999999995
KU1919,Lapatinib,3.4457129999999996
OVCAR3,RVX-208,5.494479
MCF7,Gallibiscoquinazole,2.191133
HCC1143,UMI-77,2.535152
MCF7,Vinorelbine,-2.348286
LS1034,PD173074,3.4134260000000003
COLO829,Gallibiscoquinazole,3.207487
LNCAPCLONEFGC,MK-2206,-1.631459
LS1034,GSK2110183B,4.503931
NCIH1975,Afatinib,-1.132375
NCIH1355,Axitinib,4.671197
SW948,RVX-208,5.771013
LOXIMVI,MK-2206,2.762687
TE8,Cisplatin,4.421932
BICR31,SN-38,0.483771
GI1,Cisplatin,0.756748
LOXIMVI,EHT-1864,3.540397
OVCAR3,BIBR-1532,5.4006870000000005
COLO680N,AZD2014,2.892631
CAL29,AZD5438,2.3791740000000003
RCC10RGB,UNC0379,5.526733
LOXIMVI,AZ6102,1.628368
HCC827,BMS-754807,4.120546
SKMEL3,Luminespib,-2.2610810000000003
NCIN87,POMHEX,1.604719
RCM1,Olaparib,6.902439
SCC25,Leflunomide,5.2090760000000005
A549,AGI-5198,5.110663
RCC10RGB,GSK343,4.707227
NMCG1,BX795,5.415116
NCIH226,glutathione,11.384246000000001
IALM,TW 37,0.9111540000000001
TE8,Refametinib,1.5536379999999999
SKMEL2,Fulvestrant,5.4539
OVCAR3,ICL-SIRT078,4.459041
NMCG1,Crizotinib,5.753826999999999
SKMEL3,AT13148,1.462749
SW48,glutathione,8.879629
TE8,XAV939,5.0345059999999995
HT29,Pictilisib,0.3176
RCM1,MIRA-1,6.928723
CAL29,Wee1 Inhibitor,1.580509
NCIH1355,YK-4-279,2.8373720000000002
NCIH2009,VX-11e,2.1199619999999997
NCIH1437,Buparlisib,0.734368
CORL23,Avagacestat,4.640608
NCIH1793,OTX015,4.417696
SKNSH,BMS-536924,0.424306
NCIH226,ABT737,5.046494999999999
TE8,UMI-77,3.14324
HPAC,Gefitinib,5.388757
KP2,Camptothecin,0.21864499999999998
TE8,AGI-5198,4.083026
DU145,Vinblastine,-3.994216
HCT116,Obatoclax Mesylate,-1.251348
SKMEL2,Elephantin,4.121308
NCIN87,EPZ5676,6.331872
NCIN87,Wnt-C59,4.760354
HT29,Veliparib,7.070963000000001
CORL23,Bleomycin,4.503767
ONS76,5-Fluorouracil,3.2904769999999997
COLO829,AZD5363,3.5747720000000003
MESSA,AZD5363,1.879097
BXPC3,ZM447439,2.3414490000000003
786O,GSK1904529A,5.418215
KYSE510,Wee1 Inhibitor,1.9509
CORL23,ascorbate,10.086818
NCIN87,MK-2206,1.784484
GAMG,Pictilisib,-0.370732
SKMEL3,Elesclomol,-0.19026099999999999
NCIH2009,SCH772984,2.008309
NCIH2009,Gemcitabine,0.14430199999999999
NMCG1,AZD4547,8.010468
NCIN87,Uprosertib,0.687789
639V,AZ6102,2.6321849999999998
GI1,Bosutinib,3.348632
LNCAPCLONEFGC,EPZ004777,4.1071480000000005
NMCG1,BMS-536924,4.122482
COLO829,Selumetinib,0.9195760000000001
BICR31,GW441756,2.4120220000000003
SKNSH,SCH772984,3.6918559999999996
BXPC3,IWP-2,2.032168
HCC1143,GSK343,3.847582
MCF7,Paclitaxel,-2.691453
NCIH322,WIKI4,3.0393950000000003
NCIN87,Nelarabine,6.016903
OVCAR3,CCT007093,4.9395489999999995
NCIH1975,YK-4-279,2.087602
SW948,AGI-5198,6.053637999999999
TE8,Tanespimycin,-0.373393
SCC25,LCL161,5.46171
RCM1,Fulvestrant,3.888127
HPAC,GSK2606414,3.26474
CORL23,POMHEX,2.677795
ONS76,AZD7762,-1.311698
IALM,Axitinib,3.8402559999999997
BXPC3,Selumetinib,2.666321
NMCG1,BMS-754807,4.555493
NCIN87,Ulixertinib,3.325363
DU145,IWP-2,3.881707
NCIN87,CCT007093,5.9368989999999995
SNB75,PF-4708671,5.1980699999999995
786O,SB216763,3.8759360000000003
786O,Pevonedistat,-0.18726199999999998
SUIT2,Cediranib,3.5653629999999996
A549,Ulixertinib,0.932786
COLO829,Foretinib,1.091934
LNCAPCLONEFGC,LCL161,4.344172
COLO829,XAV939,6.779756
NCIH1355,Taselisib,1.689905
NCIH1975,AZD5153,1.258334
NCIH1437,Alpelisib,2.2024470000000003
5637,Talazoparib,2.190209
KU1919,Ribociclib,3.329572
NCIN87,Oxaliplatin,4.775055
LOVO,SB216763,4.467271
MCF7,Dactolisib,0.47498500000000005
CAL29,BMS-536924,2.12662
HPAC,Mitoxantrone,2.8056349999999997
CORL23,ICL-SIRT078,3.4693
OVISE,NU7441,4.616889
NMCG1,GSK269962A,5.821608
SKMEL3,Erlotinib,3.220878
HCC1143,Ruxolitinib,6.0504169999999995
SKNSH,Foretinib,0.008591
OVCAR3,Zoledronate,4.099357
NCIH1975,MK-2206,1.8855819999999999
DKMG,SCH772984,1.792401
NCIN87,Staurosporine,-2.2093439999999998
NCIH2347,SB216763,7.191255
COLO829,Pictilisib,3.728849
NCIN87,LGK974,4.879622
BICR31,VE821,2.37677
BXPC3,AZD5153,1.773907
ONS76,Schweinfurthin A,1.999255
KU1919,Doramapimod,4.278038
SKMEL2,Tanespimycin,-0.027170999999999997
HT29,ABT737,2.532962
COLO829,Epirubicin,-1.083337
NCIH1650,Oxaliplatin,5.790531
SW948,Zoledronate,3.042251
OVISE,Dactolisib,-0.852524
SKMEL2,GDC0810,4.514652
CORL23,Taselisib,0.888251
OVCAR3,UMI-77,2.01939
LOXIMVI,AZD7762,-0.409739
IALM,AZD3759,3.935465
SW948,UMI-77,5.655362
NCIH2009,UNC0638,4.265334999999999
SW48,AZD4547,2.7441470000000003
CAOV3,Camptothecin,-3.812551
639V,Remodelin,4.147298
KYSE510,Ipatasertib,3.7942769999999997
IALM,Dacarbazine,6.728006
NCIH1975,Entinostat,1.644824
DKMG,AZD5991,5.40232
NCIH226,Motesanib,7.871856
HT29,Dacarbazine,5.189811
NCIH1650,OSI-027,5.1756910000000005
HCT116,AZD5582,1.9457779999999998
SW48,Fludarabine,4.855296
H4,GSK591,3.258045
LOXIMVI,WEHI-539,3.779548
5637,A-366,4.839871
RCM1,Oxaliplatin,4.445113
HCC1806,LCL161,4.117945
NCIH2009,Daporinad,-3.0781549999999998
CAOV3,Niraparib,4.568204
OVISE,Afuresertib,2.344785
SKNSH,Docetaxel,-4.260978
SKMEL2,ICL-SIRT078,5.472519999999999
HCC827,AZD5438,2.575397
MCF7,PF-4708671,4.430173
NCIH1437,Pevonedistat,0.110145
HCT116,CZC24832,4.76295
HCT116,AZD1332,2.781987
KP2,Docetaxel,1.160572
GAMG,CZC24832,4.8136019999999995
HPAC,Topotecan,2.9047810000000003
TE8,5-azacytidine,4.505137
IGROV1,AZD4547,2.359208
5637,Fludarabine,4.459346
NCIH1793,Bortezomib,-0.697855
5637,SB216763,4.869955
GI1,TW 37,1.377232
SUIT2,WIKI4,3.470754
RCM1,5-Fluorouracil,5.428844000000001
BXPC3,AZD8186,3.2229080000000003
TE8,Bleomycin,3.8824739999999998
KYSE510,Elephantin,4.271380000000001
BXPC3,Docetaxel,-1.167331
A549,MG-132,-1.17077
NCIN87,PLX-4720,5.373104
LOXIMVI,BMS-536924,0.843203
KP2,CCT007093,6.450661
HPAC,Tanespimycin,0.21597
NCIN87,SB216763,5.787182
CORL23,BIBR-1532,6.044381
OVCAR3,AZD1208,5.538648
NCIH2347,Fulvestrant,5.109351
GI1,PCI-34051,4.103366
COLO680N,GSK2801,6.605808000000001
ONS76,Leflunomide,5.281021
BXPC3,Uprosertib,1.9535810000000002
A549,Erlotinib,2.126162
SCC25,GSK2578215A,5.570501
IGROV1,AZD3759,0.498375
OVISE,RVX-208,6.133108999999999
HCC1143,SN-38,4.043894
RCM1,Doramapimod,6.593692999999999
TE8,Tamoxifen,3.6490650000000002
LNCAPCLONEFGC,Olaparib,2.836391
MESSA,Cytarabine,0.730928
SNB75,GSK2578215A,5.4249
NCIH1975,AZD5438,1.5435299999999998
SKMEL3,Navitoclax,3.4309019999999997
NCIH1355,Bortezomib,-3.319813
SW48,Temsirolimus,1.405761
NCIH2009,Tamoxifen,4.187921
MESSA,OF-1,3.501442
HCC1806,Linsitinib,3.9486879999999998
KU1919,L-Oxonoreleagnine,4.006946
5637,Uprosertib,5.4773819999999995
786O,AZD7762,-0.964892
RCM1,Tamoxifen,3.916324
BICR31,Dactinomycin,-4.91155
NCIH2347,GSK1904529A,6.475998000000001
IGROV1,UNC0638,5.100392
HT29,SN-38,-2.787608
IALM,Uprosertib,4.991121
KU1919,SB216763,3.6183050000000003
NCIH322,VX-11e,1.373574
COLO829,GDC0810,6.305934
LOXIMVI,Vinblastine,-4.682548000000001
TE8,GSK2578215A,4.873687
DKMG,AZD5582,1.24322
HCC827,Ulixertinib,5.024978
CAL29,Ulixertinib,2.407802
CAL29,P22077,2.405386
COLO829,Linsitinib,5.143164
IGROV1,Mitoxantrone,-0.8116899999999999
NCIH1975,Oxaliplatin,5.754407
SNB75,JQ1,3.566555
OVCAR3,GSK2801,5.225916000000001
HCC827,Selumetinib,6.660125
A549,MK-2206,2.499941
BXPC3,CZC24832,5.028994
KYSE510,Lapatinib,3.3364279999999997
SUIT2,Doramapimod,5.481543
NMCG1,JQ1,5.949575
SNB75,Gefitinib,3.7663629999999997
NCIH2009,AZD8055,1.250367
BICR31,AGK2,1.840383
HPAC,A-366,6.020713
LS1034,Lapatinib,2.9369490000000003
NCIH322,AT13148,4.426106
5637,5-Fluorouracil,3.119772
639V,MG-132,-1.384256
NCIH1650,Methotrexate,-0.8947440000000001
NCIH226,MIM1,5.693008
NCIH1437,WZ4003,5.163232
LS1034,Dactinomycin,-2.244882
GAMG,Ribociclib,3.9872949999999996
HCC1806,Foretinib,1.141415
HT29,Vinorelbine,-4.304256
8505C,GNE-317,3.7685089999999994
A549,Gemcitabine,-3.5957529999999998
DU145,Trametinib,3.053902
OVCAR3,AZD5991,5.708794999999999
CAL29,AZD3759,1.203083
NCIN87,Luminespib,-4.132584
HCC1806,SGC-CBP30,3.081566
CORL23,Motesanib,4.086859
NCIH1650,GSK2801,5.807752
NCIH2347,GDC0810,6.88041
SKMEL3,AMG-319,4.068793
RCM1,Camptothecin,-1.6087049999999998
COLO829,Selumetinib,1.498235
IGROV1,Dactinomycin,-3.241539
NCIH2009,MK-2206,3.218353
786O,A-366,4.958174
ONS76,CCT007093,5.080222
COLO680N,AZD1332,5.221719
DU145,Niraparib,5.987626000000001
NCIH1650,PRT062607,3.760991
OVCAR3,EHT-1864,2.9131110000000002
NCIH322,AZD7762,-2.033824
NCIH322,Sabutoclax,0.12581099999999998
NCIH1437,Oxaliplatin,2.854116
DKMG,AZD5153,0.8616940000000001
NCIH322,Bleomycin,3.822659
GAMG,OF-1,4.180467
A549,UMI-77,2.108629
SKMEL2,Ipatasertib,5.001608999999999
GI1,Dasatinib,1.246129
KYSE510,Afatinib,1.737871
NCIH2009,YK-4-279,2.02156
639V,AZD3759,3.3462440000000004
HT29,Romidepsin,-6.248235
786O,Vinorelbine,-4.994978
BXPC3,PFI-1,4.513591
RCC10RGB,AZD8186,2.006609
LS1034,CCT007093,4.42296
COLO829,EPZ5676,7.060414999999999
TE8,Teniposide,0.051142
GAMG,NVP-ADW742,4.005741
LS1034,AZD5438,2.4268919999999996
NCIH1355,WZ4003,3.167975
GAMG,AZD3759,2.686561
SW48,GSK2801,3.689779
BICR31,LGK974,4.376234999999999
DU145,Bleomycin,6.455398000000001
HCC1806,ZM447439,2.119933
GI1,Camptothecin,-3.816836
CORL23,Camptothecin,-1.760348
NCIH226,UNC0638,6.324539
NCIH1793,RO-3306,6.455013
RCC10RGB,Sinularin,5.238067
786O,Pictilisib,0.8408549999999999
COLO680N,AZD3759,3.234118
NCIH1793,CCT007093,6.796024000000001
RCC10RGB,Cediranib,2.701575
LOVO,Mycophenolic acid,0.466138
HCC1143,POMHEX,2.7170229999999997
SW948,Oxaliplatin,3.149122
SKNFI,Trametinib,-1.246695
OVCAR3,Uprosertib,2.892024
CAL29,Leflunomide,4.848371
GAMG,Tanespimycin,-2.198362
NCIH2009,Oxaliplatin,3.961351
A549,I-BET-762,2.169986
NCIH1355,Cisplatin,6.057907
CORL23,Navitoclax,2.270331
OVISE,PD173074,4.885102
NCIH1650,Selumetinib,6.829472
786O,AZD8186,1.638264
NCIN87,EPZ004777,6.350449
MCF7,Epirubicin,0.091143
NCIH1355,ZM447439,5.952136
NCIH1437,PF-4708671,3.6854080000000002
RCC10RGB,5-azacytidine,4.80744
NCIH1650,SB216763,5.993074
HCC1143,Entinostat,1.590193
NMCG1,SGC0946,5.387988
IGROV1,AGI-5198,4.868337
LNCAPCLONEFGC,GDC0810,2.1352830000000003
NCIH322,5-Fluorouracil,3.9266620000000003
SKMEL3,GSK2578215A,5.145901
CORL23,AGK2,3.67849
8505C,Uprosertib,5.533077
MESSA,Savolitinib,1.225209
KP2,GSK343,2.928545
NCIN87,Methotrexate,2.847461
GAMG,MIM1,4.166616
639V,Ruxolitinib,4.65365
NCIH1355,CCT007093,6.182055
ONS76,VE821,2.53959
OVCAR3,Epirubicin,-0.518837
SKMEL2,Selumetinib,1.2106700000000001
MESSA,Navitoclax,5.232544
SKNFI,SB590885,4.122964
SW948,ABT737,1.57355
KU1919,Temsirolimus,0.813753
NCIH1793,Savolitinib,3.790714
HCC1806,EPZ004777,4.947997
MESSA,WEHI-539,4.984733
DU145,NU7441,5.932558
KYSE510,Crizotinib,3.030328
NCIH226,Savolitinib,5.1682760000000005
CAL29,GSK591,4.7172089999999995
NCIH226,Vinblastine,-2.268862
SW948,NVP-ADW742,3.2031169999999998
639V,GSK1904529A,4.135180999999999
NCIH1650,AZD8186,2.262832
NCIH1793,Irinotecan,6.71462
H4,Fludarabine,4.975474
NCIH1650,Entospletinib,4.905995
DU145,Staurosporine,-1.169537
LOXIMVI,Wnt-C59,3.752035
KU1919,Ulixertinib,-0.944691
NCIH2347,AT13148,7.140214
HPAC,glutathione,10.977447999999999
NCIH1793,POMHEX,3.4525099999999997
KYSE510,Erlotinib,5.121929
NCIH1437,BX795,2.5056580000000004
HCC827,Ribociclib,5.29779
SKMEL2,Oxaliplatin,6.164771
NCIH2009,Dactolisib,-1.9655919999999998
TE8,AZD5991,3.6000410000000005
LNCAPCLONEFGC,ascorbate,10.992225
MESSA,PFI-1,3.457386
HCT116,MK-2206,3.1524669999999997
NCIH2009,ABT737,2.491325
H4,NU7441,2.371166
RCC10RGB,XAV939,6.040708
5637,Mirin,5.00453
NMCG1,MIRA-1,8.096327
ONS76,MK-1775,0.40379
COLO680N,ABT737,5.647151
NCIN87,MK-1775,1.136049
NCIH1437,Talazoparib,2.776852
RCC10RGB,Remodelin,7.896553999999999
KU1919,LMP744,-2.413557
IALM,GSK591,5.816567
OVISE,Axitinib,5.63615
SKMEL2,BIBR-1532,4.995898
CORL23,Oxaliplatin,5.287311
ONS76,Selumetinib,0.988783
NCIH322,AZD5438,1.9048490000000002
DKMG,OSI-027,4.959711
IALM,Bortezomib,-3.251954
HCC827,Wee1 Inhibitor,2.7993360000000003
KU1919,CCT007093,5.060491000000001
HT29,Cediranib,1.555421
NCIH2347,Oxaliplatin,6.515446
SUIT2,AZD1208,6.7356300000000005
COLO829,NU7441,6.947680999999999
SW48,Tanespimycin,-3.167665
ONS76,CPI-637,4.759546
SKNSH,PFI-1,4.519474
NCIH1975,Schweinfurthin A,1.8933939999999998
OVCAR3,SB590885,3.951867
MCF7,GSK343,5.204937999999999
5637,Trametinib,-0.275098
SKNFI,Olaparib,4.431365
NCIH1650,MIRA-1,7.089441000000001
SNB75,IOX2,3.2407150000000002
RCM1,I-BRD9,5.16972
KP2,Luminespib,1.839098
COLO829,YK-4-279,3.295126
NCIH1355,Topotecan,3.8638779999999997
COLO829,Niraparib,5.134071
NCIH1355,BIBR-1532,6.575353
SCC25,Gemcitabine,4.278767
RCM1,OTX015,1.6718560000000002
8505C,CPI-637,5.552242
BICR31,Dinaciclib,-1.7646990000000002
RCC10RGB,Epirubicin,1.510867
BICR31,Veliparib,5.0290870000000005
COLO680N,Niraparib,6.063918
IGROV1,AZD5438,1.913887
CAL29,Sinularin,3.556636
NCIH1793,5-Fluorouracil,7.762683999999999
COLO680N,Alisertib,3.641807
5637,AGI-6780,4.5805050000000005
A549,AZD1208,5.740114
LOXIMVI,AZD5363,1.526766
CAOV3,VE821,2.615464
8505C,AGI-6780,3.945921
